startDate,endDate,value,unit,sourceName,creationDate,value_m
2023-08-05 05:54:02-06:00,2023-08-05 05:54:10 -0600,0,m,Connect,2023-08-05 07:58:16 -0600,0.0
2023-08-05 06:07:03-06:00,2023-08-05 07:38:34 -0600,2550,m,Connect,2023-08-12 08:45:36 -0600,2550.0
2023-08-06 06:05:43-06:00,2023-08-06 07:52:52 -0600,1750,m,Connect,2023-08-13 12:29:48 -0600,1750.0
2023-08-07 05:14:00-06:00,2023-08-07 06:17:45 -0600,2050,m,Connect,2023-08-14 08:13:43 -0600,2050.0
2023-08-19 06:07:05-06:00,2023-08-19 07:48:45 -0600,3000,m,Connect,2023-08-24 07:27:02 -0600,3000.0
2023-08-20 06:04:32-06:00,2023-08-20 08:04:17 -0600,2550,m,Connect,2023-08-24 07:27:02 -0600,2550.0
2023-09-02 06:07:00-06:00,2023-09-02 07:32:37 -0600,2400,m,Connect,2023-09-03 08:09:49 -0600,2400.0
2023-09-03 06:08:05-06:00,2023-09-03 07:37:44 -0600,2000,m,Connect,2023-09-03 08:09:49 -0600,2000.0
2023-09-15 06:17:28-06:00,2023-09-15 06:58:40 -0600,1500,m,Connect,2023-09-21 15:20:56 -0600,1500.0
2023-09-16 06:14:41-06:00,2023-09-16 07:36:06 -0600,2500,m,Connect,2023-09-21 15:20:56 -0600,2500.0
2023-09-17 06:14:45-06:00,2023-09-17 07:27:47 -0600,1800,m,Connect,2023-09-24 12:43:08 -0600,1800.0
2023-09-30 06:12:07-06:00,2023-09-30 07:24:48 -0600,1700,m,Connect,2023-10-06 07:49:00 -0600,1700.0
2023-10-01 06:07:05-06:00,2023-10-01 07:26:43 -0600,1725,m,Connect,2023-10-06 07:49:00 -0600,1725.0
2023-10-15 06:11:01-06:00,2023-10-15 07:41:49 -0600,1000,m,Connect,2023-10-18 07:33:41 -0600,1000.0
2023-11-04 06:13:59-06:00,2023-11-04 07:34:01 -0600,1050,m,Connect,2023-11-08 06:32:57 -0600,1050.0
2023-11-26 06:06:13-06:00,2023-11-26 07:44:34 -0600,2200,m,Connect,2023-12-02 08:09:28 -0600,2200.0
2023-12-02 06:10:51-06:00,2023-12-02 07:35:11 -0600,1650,m,Connect,2023-12-09 14:26:19 -0600,1650.0
2023-12-16 06:08:50-06:00,2023-12-16 07:41:00 -0600,2000,m,Connect,2023-12-16 08:40:28 -0600,2000.0
2023-12-27 06:16:40-06:00,2023-12-27 06:16:56 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:17:28 -0600,25.0
2023-12-27 06:16:58-06:00,2023-12-27 06:17:21 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:17:53 -0600,25.0
